S.no, Handle, Points, A, B, C, D, E, F, G1, G2, H, I, J, K, L, Type
1, prnv10, 5978, 247 (+0), 431 (+1), 888 (+0), 1005 (+0), 1146 (+0), 1263 (+1), 548 (+0), 450 (+3), -, -, -, -, -, Active
2, AnAverageElectrician, 5925, 249 (+0), 400 (+0), 964 (+0), 1095 (+1), 1266 (+0), 616 (+0), 543 (+1), 792 (+0), -, -, -, -, -, Active
3, kadamrohan0215, 5347, 247 (+0), 449 (+1), 928 (+0), 1010 (+3), 1143 (+3), 1024 (+0), 546 (+2), -, -, -, -, -, -, Active
4, MihirVai, 5093, 246 (+0), 476 (+0), 904 (+0), 730 (+5), 1074 (+0), 1127 (+1), 536 (+0), -, -, -, -, -, -, Active
5, AnshumanJ, 4345, 248 (+0), (-2), 856 (+0), 980 (+0), 1043 (+1), -, (-1), -, -, -, 1218 (+0), -, -, Active
6, RedSnow389, 4189, 249 (+0), 480 (+0), 891 (+1), (-3), 1259 (+1), -, 543 (+1), 767 (+1), -, -, -, -, -, Active
7, 1KgChawal, 4110, 248 (+0), 451 (+1), 904 (+0), 1025 (+0), 966 (+0), (-1), 516 (+0), -, -, -, -, -, -, Active
8, rmmukhesh, 3821, 247 (+0), 468 (+0), 846 (+2), 895 (+3), 1019 (+1), -, 346 (+2), -, -, -, -, -, -, Active
9, stillgrowing, 3797, 222 (+1), 451 (+1), 912 (+0), 650 (+4), 826 (+2), 736 (+0), (-2), -, -, -, -, -, -, Active
10, alpha299792458, 3771, 248 (+0), 480 (+0), 757 (+3), 765 (+3), 777 (+3), 744 (+0), -, -, -, -, -, -, -, Active
11, Kolwdfurr_Rad, 3747, 242 (+0), 472 (+0), 875 (+1), 1000 (+1), 1158 (+0), (-2), (-3), -, -, -, -, -, -, Active
12, shreyas_bargale_1879, 3735, 246 (+0), 468 (+0), 872 (+0), 885 (+2), 929 (+1), -, 335 (+1), -, -, -, -, -, -, Active
13, HVD_160, 3575, 248 (+0), 451 (+1), 789 (+3), 965 (+1), 1122 (+0), (-1), (-2), -, -, -, -, -, -, Active
14, smash_potato, 3565, 248 (+0), 476 (+0), 892 (+0), 925 (+2), 1024 (+2), -, (-4), -, -, -, -, -, -, Active
